rank,team,rating,average_rank,average_rating,one_year_change_rank,one_year_change_rating,matches_total,matches_home,matches_away,matches_neutral,wins,losses,draws,goals_for,goals_against
1,Spain,2157,7,1946,0,0,782,341,302,139,462,138,182,1595,699
2,Argentina,2115,5,1987,0,-17,1111,381,419,311,612,228,271,2117,1136
3,France,2063,16,1795,0,8,940,475,341,124,475,270,195,1710,1275
4,England,2021,4,1983,2,37,1161,509,524,128,684,215,262,2720,1118
5,Brazil,1991,4,1998,0,-10,1067,373,346,348,672,172,223,2302,957
6,Portugal,1986,19,1797,-2,-44,695,321,262,112,347,189,159,1224,780
7,Colombia,1982,48,1621,1,32,650,185,229,236,267,205,178,847,742
8,Netherlands,1948,15,1848,-1,-27,903,430,358,115,466,240,197,1894,1144
9,Ecuador,1938,64,1525,2,33,600,183,211,206,185,254,161,724,904
10,Germany,1932,8,1911,0,19,1047,470,416,161,606,224,217,2358,1233
11,Norway,1914,38,1623,3,48,888,426,409,53,335,355,198,1377,1445
12,Croatia,1912,12,1881,-3,-15,400,158,167,75,210,84,106,696,404
13,Turkey,1911,43,1610,9,75,670,290,300,80,264,250,156,950,970
14,Japan,1906,61,1467,2,49,836,332,207,297,409,257,170,1518,985
15,Belgium,1894,24,1755,2,47,878,416,376,86,392,302,184,1606,1359
16,Uruguay,1892,12,1876,-4,-9,1019,336,432,251,446,321,252,1610,1254
17,Switzerland,1891,27,1689,1,46,896,426,391,79,319,373,204,1338,1484
18,Mexico,1875,20,1783,6,62,1029,297,273,459,535,257,237,1829,1054
19,Denmark,1869,20,1799,-4,4,905,414,396,95,420,298,187,1652,1221
19,Italy,1869,8,1915,-6,-13,903,407,325,171,481,177,245,1581,894
21,Senegal,1860,56,1591,8,75,706,221,260,225,319,193,194,969,672
22,Paraguay,1834,23,1755,1,9,789,215,365,209,277,303,209,1006,1115
23,Austria,1830,20,1810,-5,-15,866,432,383,51,371,310,185,1561,1321
24,Morocco,1827,43,1657,1,15,730,319,219,192,365,165,200,1108,615
25,Canada,1788,49,1599,4,3,490,154,200,136,190,185,115,629,624
26,Scotland,1782,14,1879,14,65,869,403,413,53,413,268,188,1503,1076
27,Ukraine,1780,31,1745,0,-19,340,134,146,60,154,91,95,478,358
28,Australia,1777,35,1672,3,2,637,271,223,143,326,180,131,1290,716
29,Iran,1772,40,1658,-3,-29,670,223,195,252,384,132,154,1275,525
29,Russia,1772,24,1742,-1,-21,815,313,383,119,432,174,209,1482,779
31,Nigeria,1770,38,1668,36,194,716,241,263,212,332,179,205,1080,723
32,Algeria,1760,48,1621,11,56,689,261,234,194,310,196,183,1053,703
33,South Korea,1758,35,1687,-1,-12,1052,353,255,444,573,221,258,1913,964
34,Greece,1744,49,1559,-14,-94,658,299,296,63,251,250,157,835,909
35,Czechia,1740,13,1855,0,-9,884,361,416,107,426,261,197,1629,1099
36,Serbia,1734,20,1787,-15,-103,862,302,424,136,403,267,192,1618,1181
37,Venezuela,1733,84,1432,-1,-12,483,179,179,125,130,246,107,524,874
38,Panama,1730,99,1362,0,1,594,201,228,165,197,252,145,743,915
39,United States,1726,41,1642,6,32,827,489,253,85,367,287,173,1250,1077
40,Chile,1717,28,1678,6,28,854,328,308,218,319,347,188,1197,1219
41,Kosovo,1715,102,1420,18,106,109,49,40,20,43,43,23,156,147
42,Uzbekistan,1714,59,1596,0,7,367,130,129,108,180,112,75,636,402
43,Sweden,1712,17,1795,-10,-48,1120,490,500,130,549,336,235,2229,1487
44,Hungary,1710,20,1835,0,9,1035,469,492,74,489,324,222,2074,1527
44,Poland,1710,30,1712,3,28,921,397,410,114,400,296,225,1564,1243
46,Peru,1700,34,1679,-9,-44,710,266,253,191,229,305,176,860,991
47,Ireland,1699,24,1626,7,66,743,378,305,60,262,287,194,979,1161
48,Egypt,1696,37,1662,1,30,885,354,281,250,447,217,221,1546,923
49,Ivory Coast,1695,45,1640,16,108,693,241,238,214,349,166,178,1132,696
50,Wales,1682,22,1671,-11,-44,735,346,357,32,236,332,167,919,1176
50,Slovenia,1682,54,1625,-16,-70,321,145,146,30,116,118,87,401,381
52,Jordan,1680,111,1324,5,56,585,201,193,191,207,220,158,730,717
53,Slovakia,1667,40,1682,-3,2,368,158,166,44,150,131,87,521,460
54,Georgia,1654,70,1553,-13,-57,321,141,148,32,107,146,68,415,444
55,DR Congo,1652,62,1557,11,69,549,166,225,158,226,172,151,836,643
56,Israel,1647,49,1621,-1,18,524,249,213,62,197,207,120,804,764
57,Romania,1639,29,1717,-9,-42,802,333,377,92,355,247,200,1306,1020
58,Bolivia,1633,60,1509,-7,-31,537,189,205,143,122,294,121,551,1056
59,Tunisia,1628,47,1616,-1,15,777,337,253,187,330,231,216,1105,845
60,Albania,1616,72,1504,-4,-11,410,192,185,33,116,209,85,396,604
61,Cameroon,1614,53,1605,1,21,661,184,247,230,287,172,202,952,712
62,Costa Rica,1611,36,1690,-10,-47,790,259,282,249,356,243,191,1369,919
63,Iraq,1607,47,1622,9,57,762,139,232,391,360,190,212,1204,710
64,Northern Ireland,1605,40,1655,5,44,612,276,298,38,172,290,150,645,928
65,Bosnia and Herzegovina,1595,53,1626,11,72,281,118,136,27,104,111,66,394,386
66,North Macedonia,1589,74,1534,-13,-45,305,141,134,30,95,131,79,364,411
67,Mali,1588,70,1523,-6,-13,625,195,234,196,249,206,170,824,718
68,Cape Verde,1578,120,1302,9,60,253,80,91,82,96,97,60,273,278
69,Saudi Arabia,1576,76,1499,-6,-15,839,324,151,364,396,247,196,1283,896
70,Honduras,1570,63,1500,-2,8,668,212,217,239,263,232,173,964,859
71,Iceland,1568,81,1425,1,18,527,216,251,60,160,263,104,635,885
72,New Zealand,1562,66,1500,-12,-40,441,135,189,117,181,181,79,767,650
73,Haiti,1548,81,1418,9,50,563,181,196,186,247,198,118,962,761
74,Angola,1542,86,1456,0,-4,475,166,184,125,176,140,159,579,490
75,United Arab Emirates,1540,98,1395,0,3,674,287,141,246,263,238,173,933,831
76,Finland,1536,62,1500,-5,-20,825,337,430,58,217,441,167,972,1699
77,Burkina Faso,1529,98,1402,3,27,493,154,188,151,170,192,131,614,677
78,Jamaica,1527,83,1413,-14,-61,719,272,268,179,280,272,167,961,942
79,Belarus,1522,80,1505,4,30,308,105,158,45,91,137,80,348,445
80,South Africa,1517,32,1707,-10,-40,526,276,161,89,231,141,154,720,543
81,Ghana,1510,42,1650,5,33,779,247,298,234,370,213,196,1248,823
82,Guatemala,1504,68,1486,2,23,628,205,180,243,225,237,166,878,858
83,Oman,1480,127,1211,-3,-22,594,230,145,219,223,219,152,757,784
84,Syria,1479,86,1428,9,36,598,125,224,249,223,227,148,859,760
85,Palestine,1465,121,1255,2,5,292,19,113,160,84,128,80,370,446
86,Guinea,1463,72,1516,5,12,646,172,263,211,251,211,184,953,804
87,Montenegro,1461,60,1597,-8,-53,174,91,78,5,58,73,43,205,239
88,Bulgaria,1458,41,1633,2,6,781,299,400,82,286,300,195,1094,1152
89,Luxembourg,1450,108,1256,0,-5,475,258,201,16,55,358,62,309,1225
90,Northern Cyprus,1442,87,1450,4,0,16,5,3,8,8,6,2,28,22
91,Curaçao,1434,97,1381,14,45,500,174,177,149,202,174,124,884,771
92,Suriname,1431,84,1404,6,21,543,231,222,90,239,175,129,986,740
93,Kazakhstan,1428,100,1420,8,26,272,103,123,46,70,143,59,285,454
94,China,1424,50,1577,6,21,764,272,265,227,369,231,164,1422,862
94,Kurdistan,1424,100,1424,2,0,4,2,0,2,3,0,1,12,3
96,Qatar,1421,93,1416,-18,-96,699,328,147,224,289,233,177,993,826
97,Libya,1420,82,1469,13,35,458,164,166,128,165,185,108,620,611
98,Gambia,1419,118,1309,10,33,299,108,100,91,81,136,82,319,433
99,Bahrain,1414,109,1349,-7,-35,637,218,159,260,223,248,166,780,826
100,Benin,1405,109,1356,-1,-2,354,129,142,83,87,182,85,366,623
101,Gabon,1401,95,1413,-14,-59,462,184,154,124,159,174,129,551,567
102,Uganda,1394,75,1482,10,13,736,251,257,228,304,238,194,1108,887
103,Trinidad and Tobago,1386,61,1505,0,-10,872,344,365,163,375,304,193,1446,1130
103,Faroe Islands,1386,122,1252,44,111,283,119,141,23,51,195,37,213,641
105,Niger,1382,133,1239,20,45,292,100,117,75,65,158,69,287,517
106,Madagascar,1380,104,1366,29,67,357,120,121,116,136,143,78,494,536
106,Equatorial Guinea,1380,151,1159,-21,-100,196,80,64,52,56,96,44,182,288
108,Togo,1379,90,1439,10,8,495,179,198,118,158,210,127,539,675
109,Thailand,1376,112,1318,13,25,935,389,200,346,366,358,211,1487,1408
110,North Korea,1375,63,1567,6,0,417,50,149,218,175,127,115,641,447
111,Comoros,1374,186,941,-15,-50,159,29,35,95,41,81,37,145,246
112,Armenia,1373,102,1418,-5,-14,283,115,132,36,66,158,59,283,539
113,Zimbabwe,1372,78,1462,-11,-26,552,190,223,139,207,184,161,738,663
113,Indonesia,1372,101,1361,8,15,784,252,192,340,299,332,153,1317,1269
115,Zambia,1371,60,1551,-7,-15,879,282,360,237,393,261,225,1389,954
116,Kenya,1363,90,1379,-2,-13,781,291,283,207,294,293,194,1078,1062
117,Estonia,1360,94,1353,2,-6,541,231,255,55,134,287,120,533,962
118,Vietnam,1351,120,1298,13,30,525,174,131,220,222,200,103,922,771
119,Sudan,1350,90,1444,-16,-46,553,154,204,195,187,225,141,628,730
120,Reunion,1345,125,1184,4,0,139,53,38,48,55,55,29,237,252
121,El Salvador,1342,72,1471,-16,-47,687,210,209,268,227,306,154,863,1023
121,Mozambique,1342,116,1332,-26,-90,444,166,177,101,139,194,111,466,585
123,Sierra Leone,1341,104,1368,6,16,337,116,141,80,98,150,89,331,474
124,Guadeloupe,1338,91,1408,-10,-38,293,92,89,112,128,114,51,507,410
125,Rwanda,1336,144,1206,7,16,290,107,100,83,90,126,74,298,364
126,Nicaragua,1333,146,1031,3,8,253,63,100,90,54,167,32,258,621
127,Kuwait,1332,83,1468,14,42,762,269,176,317,321,248,193,1198,880
128,Mauritania,1329,155,1115,-2,-4,300,91,103,106,56,173,71,217,527
129,Azerbaijan,1322,107,1397,-9,-43,324,116,152,56,67,176,81,265,545
130,Zanzibar,1320,145,1119,2,0,217,37,45,135,39,131,47,186,458
131,Cyprus,1314,102,1377,6,15,429,237,186,6,84,271,74,387,932
132,Tanzania,1313,117,1295,-21,-71,658,244,237,177,193,280,185,752,963
133,Martinique,1312,79,1458,-16,-61,371,136,125,110,167,116,88,676,488
134,Liberia,1304,112,1342,15,41,342,146,144,52,91,175,76,318,521
135,Namibia,1303,136,1272,-22,-77,304,102,121,81,77,135,92,295,424
136,Kyrgyzstan,1295,155,1203,-9,-37,192,49,74,69,55,105,32,208,337
137,Malaysia,1293,122,1290,3,2,925,390,240,295,362,352,211,1512,1339
138,Guyana,1292,104,1293,11,29,456,179,194,83,142,224,90,589,790
139,Lebanon,1288,108,1333,-11,-39,421,140,144,137,123,186,112,507,621
139,Latvia,1288,87,1399,-3,-13,459,193,213,53,128,220,111,536,754
141,Ethiopia,1287,99,1394,4,8,474,216,163,95,171,199,104,657,691
142,New Caledonia,1286,103,1357,2,1,285,87,71,127,141,110,34,739,419
143,Tajikistan,1285,123,1334,-1,-3,212,57,84,71,80,86,46,305,297
143,Burundi,1285,125,1285,-4,-7,241,52,89,100,74,112,55,274,334
145,Dominican Republic,1283,167,1060,-3,-5,190,86,64,40,69,89,32,301,307
146,Lithuania,1279,92,1319,-8,-15,418,170,207,41,106,230,82,415,759
147,Moldova,1270,109,1391,-13,-49,302,115,146,41,60,172,70,247,523
148,Botswana,1267,150,1167,-25,-83,368,166,136,66,98,166,104,311,490
149,Malta,1255,118,1322,4,5,456,246,183,27,66,314,76,298,1020
150,Guinea-Bissau,1248,126,1282,-2,-16,215,66,64,85,58,104,53,215,320
151,Cuba,1239,84,1438,5,15,485,103,212,170,185,189,111,678,684
151,Malawi,1239,115,1327,0,-17,700,306,245,149,232,265,203,817,902
153,Central African Republic,1236,124,1295,-7,-42,164,32,67,65,36,94,34,181,326
154,French Guiana,1223,125,1246,3,0,190,66,67,57,57,92,41,280,328
155,Mayotte,1216,157,1202,5,0,41,2,11,28,13,17,11,55,59
156,Turkmenistan,1209,117,1358,-4,-42,187,42,76,69,71,82,34,288,281
157,Congo,1207,83,1470,0,-16,474,180,188,106,173,186,115,679,662
158,Eritrea,1201,164,1158,8,62,86,20,28,38,17,50,19,61,137
159,Lesotho,1198,151,1179,0,-24,354,113,147,94,70,180,104,280,580
160,Yemen,1195,144,1212,12,74,295,56,87,152,66,173,56,304,573
161,Philippines,1179,135,1069,8,46,397,110,127,160,99,238,60,432,1023
162,Tahiti,1177,102,1386,-1,0,254,58,71,125,136,82,36,693,383
163,Eswatini,1148,153,1168,-9,-80,324,123,131,70,71,158,95,297,542
164,Saint Vincent and the Grenadines,1141,110,1322,3,4,365,138,135,92,131,150,84,566,648
165,Papua New Guinea,1135,165,1091,9,31,165,30,43,92,54,80,31,352,356
165,Puerto Rico,1135,169,936,3,1,196,73,67,56,46,121,29,229,491
167,Singapore,1134,134,1228,9,52,772,322,185,265,242,373,157,1036,1396
168,India,1128,110,1341,-3,-14,612,177,172,263,220,263,129,838,1001
169,Vanuatu,1118,156,1104,12,73,227,54,51,122,71,124,32,404,485
170,Bermuda,1117,128,1284,-8,-51,236,106,82,48,79,112,45,375,417
171,South Sudan,1109,178,1087,-2,-24,81,18,29,34,13,52,16,55,145
172,Fiji,1104,129,1246,-17,-123,288,106,65,117,126,106,56,647,463
173,Hong Kong,1101,123,1288,-9,-47,514,183,152,179,178,234,102,816,873
174,Grenada,1098,101,1370,-1,-8,310,115,116,79,103,129,78,490,561
175,Andorra,1080,182,1050,2,14,231,92,106,33,15,184,32,77,543
176,Mauritius,1073,108,1334,-1,-22,359,124,151,84,100,174,85,450,572
176,Chad,1073,135,1244,-13,-78,182,45,59,78,35,105,42,165,340
176,Belize,1073,139,1114,2,15,129,44,44,41,32,74,23,138,245
179,Solomon Islands,1054,147,1183,-8,-72,223,59,62,102,94,92,37,480,428
180,Saint Martin,1042,187,983,2,-1,86,18,36,32,33,44,9,136,191
181,Sao Tome and Principe,1035,174,1056,2,-3,82,24,36,22,11,60,11,59,213
182,Saint Kitts and Nevis,1029,138,1174,3,4,252,121,80,51,104,101,47,431,396
183,Gibraltar,1011,178,1081,-3,-35,118,41,49,28,18,85,15,70,344
184,Somaliland,1005,188,1004,2,0,2,0,0,2,1,0,1,4,3
185,Saint Lucia,1003,126,1240,-2,-35,264,89,108,67,90,132,42,361,485
186,Western Sahara,996,189,996,1,0,1,0,1,0,0,1,0,0,6
187,Myanmar,984,125,1244,3,33,554,119,139,296,219,231,104,899,958
188,Somalia,979,166,1072,9,68,150,10,48,92,15,112,23,78,375
189,Aruba,978,125,1198,7,61,208,83,81,44,52,112,44,298,471
190,Sint Maarten,975,187,909,3,43,75,16,25,34,23,39,13,107,194
191,Montserrat,972,191,642,-3,0,74,15,26,33,18,48,8,76,235
192,Afghanistan,961,167,920,-13,-96,168,8,67,93,38,92,38,153,340
193,Greenland,945,185,975,-2,0,22,2,7,13,5,16,1,35,50
194,Bangladesh,942,181,980,5,35,327,92,97,138,88,166,73,300,584
195,Djibouti,940,178,872,-1,11,121,28,40,53,11,99,11,83,424
196,Dominica,934,132,1196,-7,-34,246,69,97,80,60,132,54,288,488
197,Pakistan,909,154,1101,12,94,287,63,97,127,66,170,51,279,642
198,Monaco,903,199,900,3,0,9,0,1,8,4,2,3,11,15
199,Barbados,898,121,1243,-7,-40,375,168,132,75,117,162,96,492,616
200,Antigua and Barbuda,895,145,1178,-2,-14,285,116,101,68,95,136,54,394,491
200,Liechtenstein,895,167,1114,0,-10,259,115,125,19,19,208,32,104,726
202,Nepal,893,190,889,-7,-33,295,74,91,130,68,174,53,247,665
203,Cambodia,871,157,1058,4,36,318,82,93,143,73,200,45,367,816
204,Seychelles,853,182,987,-1,2,190,51,58,81,26,131,33,144,425
205,Sri Lanka,836,161,933,5,54,285,70,89,126,58,177,50,278,693
206,San Marino,825,195,917,-2,-20,228,110,110,8,3,213,12,44,895
207,Taiwan,822,144,1169,-5,-59,339,96,109,134,96,191,52,465,788
208,Bonaire,817,150,1037,-2,-19,104,19,52,33,24,68,12,116,257
209,Maldives,801,191,885,-4,-41,241,65,82,94,67,135,39,289,538
210,Cayman Islands,800,183,1000,-2,-20,129,60,39,30,26,78,25,125,313
211,Chagos Islands,782,211,783,-1,0,4,0,0,4,1,2,1,8,10
212,Tuvalu,756,204,745,1,0,34,0,4,30,9,21,4,47,182
213,British Virgin Islands,743,207,788,15,116,139,35,63,41,24,91,24,129,402
214,Sint Eustatius,737,213,753,0,0,11,3,8,0,5,2,4,33,30
215,Laos,734,186,895,3,18,235,49,69,117,43,157,35,235,739
215,East Timor,734,226,630,8,45,92,5,47,40,13,72,7,86,285
217,Samoa,728,211,659,-1,0,77,28,15,34,23,50,4,109,279
218,Mongolia,726,190,842,-3,-4,102,22,39,41,21,70,11,100,288
219,Saint Barthelemy,725,217,706,-2,0,10,7,3,0,4,5,1,25,29
220,Guam,706,207,694,-1,-8,132,25,44,63,31,88,13,169,592
221,Wallis and Futuna,699,201,699,-1,0,24,0,5,19,5,19,0,23,109
222,Vatican,692,218,697,-1,0,5,0,0,5,0,3,2,1,6
223,Saba,691,223,675,-1,0,8,5,3,0,2,4,2,25,26
224,Bahamas,685,190,872,-14,-97,90,30,32,28,17,62,11,90,291
225,Saint Pierre and Miquelon,677,223,678,-1,0,7,0,0,7,0,7,0,2,78
226,Turks and Caicos Islands,657,211,765,0,9,56,16,22,18,13,37,6,54,197
227,Anguilla,646,224,556,4,30,117,31,50,36,16,87,14,74,413
228,Tibet,629,208,665,-1,0,10,0,3,7,0,9,1,8,38
229,US Virgin Islands,628,219,685,4,41,81,27,35,19,10,58,13,55,300
230,Bhutan,623,219,600,-1,1,117,20,40,57,12,97,8,68,423
231,Cook Islands,622,206,681,-2,0,56,4,14,38,13,39,4,50,276
232,Macao,589,175,945,0,-7,161,51,50,60,24,120,17,141,490
233,Christmas Island,578,228,577,1,0,10,6,4,0,7,2,1,29,8
234,Brunei,572,201,778,-9,-98,153,30,42,81,27,113,13,120,491
235,Falkland Islands,571,229,585,0,0,4,0,1,3,0,4,0,0,25
236,FS Micronesia,564,231,572,0,0,8,1,3,4,1,7,0,8,64
238,Kiribati,544,219,578,-1,0,11,0,2,9,0,10,1,7,126
239,Tonga,520,213,651,-1,0,70,10,15,45,16,48,6,82,265
240,Niue,496,225,496,-1,0,2,0,0,2,0,2,0,0,33
241,Northern Mariana Islands,432,233,512,-1,0,36,7,11,18,5,28,3,43,153
242,Cocos Islands,422,235,423,-1,0,10,4,6,0,2,7,1,8,29
243,Palau,402,237,402,-1,0,2,2,0,0,0,2,0,3,27
244,Eastern Samoa,369,226,467,-1,-19,59,0,15,44,5,52,2,36,385
